timestamp,usuario,CPU,RAM,RAM_Percent,Disco,PacotesEnv,PacotesRec,Num_processos,GB_Enviados_Seg,GB_Recebidos_Seg,GB_Total_Enviados,GB_Total_Recebidos,Onibus_Garagem
2025-12-02 23:12:21,pedro,19.3,11.94,75.0,242.99,1899,1107338,252,0.00054273,5.427e-05,0.00271,0.00027,0
2025-12-02 23:12:28,pedro,9.7,11.83,74.29,242.99,2002,1108298,253,0.00057219,5.722e-05,0.00557,0.00056,0
